STATE_NAME	STATE_NAME_DIR	fips	scenario_type	scenario_hash	batch_num	output_path
New Mexico	New-Mexico	35001	vax	05bf23ad74e7bae38a0c20443b088dc18011549b7389bf4d6a2eb4930dfc9ed4	019c9b05-ed81-720f-8030-aac06f50e027	../US_Vax_Compare/input_files/New-Mexico_05bf23ad74e7bae38a0c20443b088dc18011549b7389bf4d6a2eb4930dfc9ed4.json
New York	New-York	36047	baseline	e25206c808bda1a29b94af2a3a2ab6bb1b4a502963a793294f0976fc95d9dd1e	019c9b05-ed86-7209-8061-1d7148600858	../US_Vax_Compare/input_files/New-York_e25206c808bda1a29b94af2a3a2ab6bb1b4a502963a793294f0976fc95d9dd1e.json
New York	New-York	36047	vax	3d0bb0c3de5e8107425fe5dfd7008efa2f7910a992415228e66e093eb2e72727	019c9b05-ed8c-736e-80f3-168984e5f6da	../US_Vax_Compare/input_files/New-York_3d0bb0c3de5e8107425fe5dfd7008efa2f7910a992415228e66e093eb2e72727.json
North Carolina	North-Carolina	37183	baseline	2a277d9271e83595745497424c8e29f026470be400bc713260d23ff63d0c254a	019c9b05-ed96-71f5-804a-48dd95db45a5	../US_Vax_Compare/input_files/North-Carolina_2a277d9271e83595745497424c8e29f026470be400bc713260d23ff63d0c254a.json
North Carolina	North-Carolina	37183	vax	9b375f2765cf7d58fce4819208c61ba044c03dd61de09e19fe85aeccd0198a02	019c9b05-ed9d-70f7-8079-8b4156392a2b	../US_Vax_Compare/input_files/North-Carolina_9b375f2765cf7d58fce4819208c61ba044c03dd61de09e19fe85aeccd0198a02.json
North Dakota	North-Dakota	38017	baseline	2b5e4a4b7a94bc14cb366b2d20c1ec3e113341b35fd3faf628ac17326ca76f5f	019c9b05-eda2-7151-80fd-f01c30afaf95	../US_Vax_Compare/input_files/North-Dakota_2b5e4a4b7a94bc14cb366b2d20c1ec3e113341b35fd3faf628ac17326ca76f5f.json
North Dakota	North-Dakota	38017	vax	b24d899c4187ec9a403f7e2342e5fcc952369afee68b1cd35fa4bd3849b8670f	019c9b05-eda9-7040-80d4-c2ac9ac89694	../US_Vax_Compare/input_files/North-Dakota_b24d899c4187ec9a403f7e2342e5fcc952369afee68b1cd35fa4bd3849b8670f.json
Ohio	Ohio	39049	baseline	727e1e5d13ce4accd1f57ce1521de30da57f9b290c83c651f772e514c11c8299	019c9b05-edae-719f-80b3-b294163d0d8f	../US_Vax_Compare/input_files/Ohio_727e1e5d13ce4accd1f57ce1521de30da57f9b290c83c651f772e514c11c8299.json
Ohio	Ohio	39049	vax	408955c2865c692d59b356049baf709fd4ed4f290f874aec002d496e0b6c273d	019c9b05-edb5-70dc-80dc-cbbb7ddec2c4	../US_Vax_Compare/input_files/Ohio_408955c2865c692d59b356049baf709fd4ed4f290f874aec002d496e0b6c273d.json
Oklahoma	Oklahoma	40109	baseline	78348d44eb15839e6b92e8b639378a02c3e5411815a9badbfe4a07a5d7ee7337	019c9b05-edba-7244-8082-be62908dc108	../US_Vax_Compare/input_files/Oklahoma_78348d44eb15839e6b92e8b639378a02c3e5411815a9badbfe4a07a5d7ee7337.json
